P,Car,Driver,Lap,LapTime,Diff,Gap,Status,Speed,LSP,Team,Engine,Flag,S1,S1_OT,P2,P2_OT,L4,L4_OT,S2A,S2A_OT,S2,S2_OT,L5,L5_OT,L7,L7_OT,L3,L3_OT,S2B,S2B_OT,T2,T2_OT,S3A,S3A_OT,S3,S3_OT,S3B,S3B_OT,T3,T3_OT,S4A,S4A_OT,S4,S4_OT,PIC,PIC_OT,S4B,S4B_OT,L6,L6_OT,S5,S5_OT,P1,P1_OT,L2,L2_OT,ElapsedTime,GapOnTrack,LeaderLap,TOD,MinimumGap,MinGapOnStraight,Tire,OT_Remain,OT_Used,Track,Ambient,Humidity,Pressure,WindSpeed,WindDirection,WindChill,Brake,Throttle,
1,7,Felix Rosenqvist,1,63.7488,,,P,81.3191777727581,1,Arrow McLaren SP,Chevy,G,,,50.4617927862097,False,,,,,,,18.2313,False,46.8009,False,,,8.6434,False,115.463730804559,False,3.504,False,7.2609,False,3.7569,False,105.563835072032,False,9.3989,False,,,76.2708018644694,False,,,11.9098,False,,,56.3029769709955,False,15.5546,False,69.4718,4.6173,1,00:01:09.472,0.2928,0.2928,P,0,0,77,71,81,29.33,5,ESE,0,0,0,
2,20,Ed Carpenter,1,63.7978,0.0490,0.0490,P,81.2567204511754,1,Ed Carpenter Racing,Chevy,G,,,57.1815761074901,False,,,,,,,18.8334,False,48.3395,False,,,8.6652,False,111.282901709455,False,3.8073,False,7.7578,False,3.9505,False,100.928428456728,False,9.6407,False,,,74.7536592122686,False,,,12.1076,False,,,59.4846561740939,False,15.1282,False,72.3116,2.8395,1,00:01:12.312,0.5763,0.7908,P,0,0,77,71,81,29.33,5,ESE,0,0,0,
3,59,Conor Daly,1,65.1744,1.4256,1.3766,P,79.5404330534689,1,Carlin,Chevy,G,,,59.2312244049049,False,,,,,,,19.2616,False,49.8945,False,,,8.6452,False,113.145117328634,False,3.6999,False,7.4943,False,3.7944,False,103.030303030303,False,9.9705,False,,,70.2087105348274,False,,,13.1681,False,,,58.6961566632904,False,15.243,False,75.3361,3.0246,1,00:01:15.336,0.4833,0.5095,P,0,0,77,71,81,29.33,5,ESE,0,0,0,
1,59,Conor Daly,2,57.4252,,,P,90.2739563815189,1,Carlin,Chevy,G,,,59.5142787175527,False,,,,,,,18.2091,False,42.2665,False,,,8.5556,False,124.365977370269,False,3.1836,False,6.2054,False,3.0218,False,129.383453414708,False,7.5737,False,,,91.038574871651,False,,,10.2783,False,,,59.3614813203094,False,15.1539,False,132.7613,13.1939,2,13:30:51.440,2.4035,2.4035,P,0,0,77,71,81,29.33,4,ESE,0,0,0,
4,12,Will Power,1,104.3389,46.9137,40.5411,P,49.6842500735584,1,Team Penske,Chevy,G,,,59.6618571302116,False,,,,,,,18.2733,False,44.6221,False,,,8.6053,False,119.458721490524,False,3.2926,False,6.6808,False,3.3882,False,120.559232743482,False,7.8029,False,,,82.5712541145259,False,,,11.8651,False,,,8.4876134587464,False,59.7315,False,136.1927,3.432,2,13:30:54.872,0.4877,0.98,P,0,0,77,71,81,29.33,4,ESE,0,0,0,
4,22,Simon Pagenaud,1,80.4818,23.0566,16.6840,P,64.412078258687,1,Team Penske,Chevy,G,,,13.6220544159979,False,,,,,,,18.0728,False,39.3159,False,,,8.484,False,128.319411096574,False,3.1156,False,6.0427,False,2.9271,False,133.032240754818,False,6.8441,False,,,107.100201728897,False,,,8.3563,False,,,59.4142080246649,False,39.3371,False,137.2521,1.0573,2,13:30:55.931,0.7622,1.0573,P,0,0,77,71,81,29.33,4,ESE,0,0,0,
5,2,Josef Newgarden,1,83.6354,26.2102,3.1536,P,61.9833228513285,1,Team Penske,Chevy,G,,,12.6841491294609,False,,,,,,,18.3531,False,39.9464,False,,,8.5795,False,119.564343702275,False,3.2745,False,6.1892,False,2.9147,False,140.253005421545,False,6.5245,False,,,105.56947395624,False,,,8.8796,False,,,59.1863995290682,False,38.1333,False,139.6435,2.3929,2,13:30:58.323,1.7323,2.1591,,0,0,77,71,81,29.33,4,ESE,0,0,0,
4,3,Scott McLaughlin,1,76.4053,18.9801,12.6075,P,67.8486963600693,1,Team Penske,Chevy,G,,,16.0962757898638,False,,,,,,,18.229,False,40.0174,False,,,8.5239,False,124.499560589786,False,3.2077,False,6.2184,False,3.0107,False,131.84329482672,False,6.8225,False,,,104.513799848744,False,,,8.7475,False,,,56.3245267000003,False,32.4074,False,141.3768,1.6554,2,13:31:00.056,1.0924,1.0924,P,0,0,77,71,81,29.33,4,ESE,0,0,0,
1,59,Conor Daly,3,56.7331,,,P,91.3752289227982,1,Carlin,Chevy,G,,,59.5512977588449,False,,,,,,,18.1491,False,41.5917,False,,,8.51,False,126.577790384343,False,3.1459,False,5.9495,False,2.8036,False,144.268071899651,False,6.8977,False,,,92.8016718236297,False,,,10.5954,False,,,59.4614218580493,False,15.1397,False,189.4944,48.1958,3,13:31:48.173,13.1939,13.1939,P,0,0,77,71,81,29.33,4,SE,0,0,0,
4,3,Scott McLaughlin,2,72.5379,15.8048,8.7401,P,71.4660887618748,1,Team Penske,Chevy,G,,,18.7040515824812,False,,,,,,,18.0746,False,40.1428,False,,,8.4961,False,126.30193592211,False,3.1503,False,6.1349,False,2.9846,False,129.156898497873,False,7.2213,False,,,102.145533726693,False,,,8.712,False,,,56.4130533271068,False,685.2027,False,213.9147,24.3481,3,13:32:12.594,1.6554,1.6554,P,0,0,77,71,82,29.33,2,E,0,0,0,
